[2026-02-28 07:23:54,399][__main__][INFO] - Current working directory: /scratch/aj4332/cb_env/blicket-text-llm/runs_2blickets/tio-qwen3-14b-nothink/obj_8/disjunctive_45tests/obj_8/disjunctive_45tests
[2026-02-28 07:24:41,197][__main__][INFO] - Trial: 0. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(2), np.int64(4)]. Rule: disjunctive
[2026-02-28 07:25:16,634][__main__][INFO] - Trial: 1. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(5), np.int64(6)]. Rule: disjunctive
[2026-02-28 07:25:54,189][__main__][INFO] - Trial: 2. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(4)]. Rule: disjunctive
[2026-02-28 07:26:30,830][__main__][INFO] - Trial: 3. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(2), np.int64(7)]. Rule: disjunctive
[2026-02-28 07:27:09,088][__main__][INFO] - Trial: 4. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(3), np.int64(5)]. Rule: disjunctive
[2026-02-28 07:27:52,033][__main__][INFO] - Trial: 5. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(2)]. Rule: disjunctive
[2026-02-28 07:28:27,309][__main__][INFO] - Trial: 6. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(5), np.int64(6)]. Rule: disjunctive
[2026-02-28 07:29:06,759][__main__][INFO] - Trial: 7. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(4), np.int64(6)]. Rule: disjunctive
[2026-02-28 07:29:41,003][__main__][INFO] - Trial: 8. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(5)]. Rule: disjunctive
[2026-02-28 07:30:20,280][__main__][INFO] - Trial: 9. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(2), np.int64(6)]. Rule: disjunctive
[2026-02-28 07:31:04,436][__main__][INFO] - Trial: 10. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(2)]. Rule: disjunctive
[2026-02-28 07:31:43,360][__main__][INFO] - Trial: 11. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(7)]. Rule: disjunctive
[2026-02-28 07:32:19,096][__main__][INFO] - Trial: 12. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(2), np.int64(3)]. Rule: disjunctive
[2026-02-28 07:32:56,425][__main__][INFO] - Trial: 13. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(5)]. Rule: disjunctive
[2026-02-28 07:33:38,225][__main__][INFO] - Trial: 14. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(7)]. Rule: disjunctive
[2026-02-28 07:34:20,760][__main__][INFO] - Trial: 15. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(7)]. Rule: disjunctive
[2026-02-28 07:34:40,320][__main__][INFO] - Num trials: 16. Total time: 645.92s. Estimated total cost: 0.0.
