[2026-02-25 15:33:09,211][__main__][INFO] - Current working directory: /scratch/aj4332/cb_env/blicket-text-llm/runs_3blickets/deepseek-r1-distill-llama-70b/obj_8/disjunctive_45tests/obj_8/disjunctive_45tests
[2026-02-25 15:34:54,267][__main__][INFO] - Trial: 0. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(2), np.int64(4)]. Rule: disjunctive
[2026-02-25 16:15:08,849][__main__][INFO] - Trial: 1. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(3), np.int64(4), np.int64(5)]. Rule: disjunctive
[2026-02-25 16:54:14,021][__main__][INFO] - Trial: 2. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(4), np.int64(7)]. Rule: disjunctive
[2026-02-25 17:18:46,953][__main__][INFO] - Trial: 3. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(2), np.int64(3), np.int64(6)]. Rule: disjunctive
[2026-02-25 17:45:07,011][__main__][INFO] - Trial: 4. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(3), np.int64(4), np.int64(5)]. Rule: disjunctive
[2026-02-25 18:10:26,347][__main__][INFO] - Trial: 5. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(6)]. Rule: disjunctive
[2026-02-25 18:42:22,004][__main__][INFO] - Trial: 6. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(4), np.int64(5), np.int64(7)]. Rule: disjunctive
[2026-02-25 19:32:46,954][__main__][INFO] - Trial: 7. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(4), np.int64(6)]. Rule: disjunctive
[2026-02-25 20:07:47,927][__main__][INFO] - Trial: 8. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(3), np.int64(4)]. Rule: disjunctive
[2026-02-25 20:32:08,176][__main__][INFO] - Trial: 9. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(2), np.int64(3), np.int64(5)]. Rule: disjunctive
[2026-02-25 21:06:37,464][__main__][INFO] - Trial: 10. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(6), np.int64(7)]. Rule: disjunctive
[2026-02-25 21:30:59,091][__main__][INFO] - Trial: 11. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(4), np.int64(6)]. Rule: disjunctive
[2026-02-25 21:52:25,111][__main__][INFO] - Trial: 12. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(2)]. Rule: disjunctive
[2026-02-25 22:20:13,395][__main__][INFO] - Trial: 13. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(4)]. Rule: disjunctive
[2026-02-25 22:52:14,410][__main__][INFO] - Trial: 14. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(6)]. Rule: disjunctive
[2026-02-25 23:22:08,361][__main__][INFO] - Trial: 15. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(4)]. Rule: disjunctive
[2026-02-25 23:48:47,533][__main__][INFO] - Num trials: 16. Total time: 29738.32s. Estimated total cost: 0.0.
