[2026-02-28 06:58:53,207][__main__][INFO] - Current working directory: /scratch/aj4332/cb_env/blicket-text-llm/runs_3blickets/qwen3-32b-nothink/obj_8/conjunctive_45tests/obj_8/conjunctive_45tests
[2026-02-28 06:59:48,867][__main__][INFO] - Trial: 0. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(2), np.int64(4)]. Rule: conjunctive
[2026-02-28 07:01:08,474][__main__][INFO] - Trial: 1. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(3), np.int64(4), np.int64(5)]. Rule: conjunctive
[2026-02-28 07:02:30,706][__main__][INFO] - Trial: 2. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(4), np.int64(7)]. Rule: conjunctive
[2026-02-28 07:04:05,501][__main__][INFO] - Trial: 3. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(2), np.int64(3), np.int64(6)]. Rule: conjunctive
[2026-02-28 07:05:48,803][__main__][INFO] - Trial: 4. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(3), np.int64(4), np.int64(5)]. Rule: conjunctive
[2026-02-28 07:07:11,004][__main__][INFO] - Trial: 5. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(6)]. Rule: conjunctive
[2026-02-28 07:08:46,843][__main__][INFO] - Trial: 6. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(4), np.int64(5), np.int64(7)]. Rule: conjunctive
[2026-02-28 07:10:06,680][__main__][INFO] - Trial: 7. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(4), np.int64(6)]. Rule: conjunctive
[2026-02-28 07:12:00,068][__main__][INFO] - Trial: 8. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(3), np.int64(4)]. Rule: conjunctive
[2026-02-28 07:13:42,575][__main__][INFO] - Trial: 9. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(2), np.int64(3), np.int64(5)]. Rule: conjunctive
[2026-02-28 07:15:17,327][__main__][INFO] - Trial: 10. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(6), np.int64(7)]. Rule: conjunctive
[2026-02-28 07:16:56,200][__main__][INFO] - Trial: 11. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(4), np.int64(6)]. Rule: conjunctive
[2026-02-28 07:18:34,574][__main__][INFO] - Trial: 12. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(2)]. Rule: conjunctive
[2026-02-28 07:19:56,734][__main__][INFO] - Trial: 13. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(4)]. Rule: conjunctive
[2026-02-28 07:21:37,871][__main__][INFO] - Trial: 14. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(6)]. Rule: conjunctive
[2026-02-28 07:23:13,232][__main__][INFO] - Trial: 15. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(4)]. Rule: conjunctive
[2026-02-28 07:24:05,437][__main__][INFO] - Num trials: 16. Total time: 1512.23s. Estimated total cost: 0.0.
