[2026-02-07 18:11:24,023][__main__][INFO] - Current working directory: /scratch/aj4332/cb_env/blicket-text-llm/runs_relevant_3blickets/qwen3-32b/obj_8/disjunctive_45tests/obj_8/disjunctive_45tests
[2026-02-07 18:12:17,498][__main__][INFO] - Trial: 0. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(2), np.int64(4)]. Rule: disjunctive
[2026-02-07 19:18:45,198][__main__][INFO] - Trial: 1. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(3), np.int64(4), np.int64(5)]. Rule: disjunctive
[2026-02-07 20:15:06,602][__main__][INFO] - Trial: 2. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(4), np.int64(7)]. Rule: disjunctive
[2026-02-07 21:03:49,291][__main__][INFO] - Trial: 3. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(2), np.int64(3), np.int64(6)]. Rule: disjunctive
[2026-02-07 21:52:33,734][__main__][INFO] - Trial: 4. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(3), np.int64(4), np.int64(5)]. Rule: disjunctive
[2026-02-07 22:41:27,105][__main__][INFO] - Trial: 5. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(6)]. Rule: disjunctive
[2026-02-07 23:42:19,932][__main__][INFO] - Trial: 6. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(4), np.int64(5), np.int64(7)]. Rule: disjunctive
[2026-02-08 00:28:57,164][__main__][INFO] - Trial: 7. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(4), np.int64(6)]. Rule: disjunctive
[2026-02-08 01:28:31,646][__main__][INFO] - Trial: 8. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(3), np.int64(4)]. Rule: disjunctive
[2026-02-08 02:35:46,877][__main__][INFO] - Trial: 9. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(2), np.int64(3), np.int64(5)]. Rule: disjunctive
[2026-02-08 04:46:03,454][__main__][INFO] - Trial: 10. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(6), np.int64(7)]. Rule: disjunctive
[2026-02-08 05:30:38,815][__main__][INFO] - Trial: 11. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(4), np.int64(6)]. Rule: disjunctive
[2026-02-08 05:57:55,090][__main__][INFO] - Trial: 12. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(2)]. Rule: disjunctive
[2026-02-08 06:43:40,469][__main__][INFO] - Trial: 13. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(4)]. Rule: disjunctive
[2026-02-08 07:31:54,632][__main__][INFO] - Trial: 14. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(6)]. Rule: disjunctive
[2026-02-08 08:49:15,925][__main__][INFO] - Trial: 15. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(4)]. Rule: disjunctive
[2026-02-08 09:15:48,127][__main__][INFO] - Num trials: 16. Total time: 54264.10s. Estimated total cost: 0.0.
