[2026-02-07 21:42:54,060][__main__][INFO] - Current working directory: /scratch/aj4332/cb_env/blicket-text-llm/runs_relevant_3blickets/qwen3-8b/obj_8/conjunctive_45tests/obj_8/conjunctive_45tests
[2026-02-07 21:43:41,600][__main__][INFO] - Trial: 0. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(2), np.int64(4)]. Rule: conjunctive
[2026-02-07 22:24:34,277][__main__][INFO] - Trial: 1. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(3), np.int64(4), np.int64(5)]. Rule: conjunctive
[2026-02-07 23:07:30,250][__main__][INFO] - Trial: 2. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(4), np.int64(7)]. Rule: conjunctive
[2026-02-07 23:15:22,776][__main__][INFO] - Trial: 3. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(2), np.int64(3), np.int64(6)]. Rule: conjunctive
[2026-02-07 23:23:14,569][__main__][INFO] - Trial: 4. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(3), np.int64(4), np.int64(5)]. Rule: conjunctive
[2026-02-08 00:06:06,888][__main__][INFO] - Trial: 5. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(6)]. Rule: conjunctive
[2026-02-08 00:46:39,293][__main__][INFO] - Trial: 6. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(4), np.int64(5), np.int64(7)]. Rule: conjunctive
[2026-02-08 01:23:38,703][__main__][INFO] - Trial: 7. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(4), np.int64(6)]. Rule: conjunctive
[2026-02-08 02:06:12,986][__main__][INFO] - Trial: 8. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(3), np.int64(4)]. Rule: conjunctive
[2026-02-08 02:41:43,067][__main__][INFO] - Trial: 9. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(2), np.int64(3), np.int64(5)]. Rule: conjunctive
[2026-02-08 03:17:29,195][__main__][INFO] - Trial: 10. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(1), np.int64(6), np.int64(7)]. Rule: conjunctive
[2026-02-08 03:57:31,512][__main__][INFO] - Trial: 11. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(4), np.int64(6)]. Rule: conjunctive
[2026-02-08 04:27:50,297][__main__][INFO] - Trial: 12. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(2)]. Rule: conjunctive
[2026-02-08 04:55:32,449][__main__][INFO] - Trial: 13. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(4)]. Rule: conjunctive
[2026-02-08 05:56:02,216][__main__][INFO] - Trial: 14. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(6)]. Rule: conjunctive
[2026-02-08 06:32:04,579][__main__][INFO] - Trial: 15. num_objects=8. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7']. Blicket indices: [np.int64(0), np.int64(1), np.int64(4)]. Rule: conjunctive
[2026-02-08 07:07:57,734][__main__][INFO] - Num trials: 16. Total time: 33903.67s. Estimated total cost: 0.0.
