split,group,rule1,rule2,rule3,rule4,a,b,c
train,T1,T1_1,T1_2,T1_3,T1_4,12,-36,-36
train,T1,T1_1,T1_2,T1_3,T1_4,4,32,32
train,T1,T1_1,T1_2,T1_3,T1_4,32,-32,32
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-2,74
train,T1,T1_1,T1_2,T1_3,T1_4,6,72,72
train,T1,T1_1,T1_2,T1_3,T1_4,8,8,0
train,T1,T1_1,T1_2,T1_3,T1_4,42,42,-42
train,T1,T1_1,T1_2,T1_3,T1_4,-12,-60,-60
train,T1,T1_1,T1_2,T1_3,T1_4,78,78,0
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-2,-64
train,T1,T1_1,T1_2,T1_3,T1_4,-2,44,44
train,T1,T1_1,T1_2,T1_3,T1_4,14,14,-98
train,T1,T1_1,T1_2,T1_3,T1_4,94,-94,94
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-2,48
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-70,-70
train,T1,T1_1,T1_2,T1_3,T1_4,-2,76,76
train,T1,T1_1,T1_2,T1_3,T1_4,28,-56,-56
train,T1,T1_1,T1_2,T1_3,T1_4,-8,-8,-80
train,T1,T1_1,T1_2,T1_3,T1_4,64,64,0
train,T1,T1_1,T1_2,T1_3,T1_4,18,-90,-90
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-2,70
train,T1,T1_1,T1_2,T1_3,T1_4,-24,-24,72
train,T1,T1_1,T1_2,T1_3,T1_4,2,2,-84
train,T1,T1_1,T1_2,T1_3,T1_4,2,-94,-94
train,T1,T1_1,T1_2,T1_3,T1_4,-42,84,84
train,T1,T1_1,T1_2,T1_3,T1_4,4,-4,-4
train,T1,T1_1,T1_2,T1_3,T1_4,28,28,-56
train,T1,T1_1,T1_2,T1_3,T1_4,20,-20,20
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-2,0
train,T1,T1_1,T1_2,T1_3,T1_4,2,-74,-74
train,T1,T1_1,T1_2,T1_3,T1_4,46,-92,-92
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-58,-58
train,T1,T1_1,T1_2,T1_3,T1_4,18,18,90
train,T1,T1_1,T1_2,T1_3,T1_4,-80,-80,0
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-2,22
train,T1,T1_1,T1_2,T1_3,T1_4,8,64,64
train,T1,T1_1,T1_2,T1_3,T1_4,-22,22,22
train,T1,T1_1,T1_2,T1_3,T1_4,2,2,62
train,T1,T1_1,T1_2,T1_3,T1_4,-6,18,18
train,T1,T1_1,T1_2,T1_3,T1_4,-12,-12,0
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-46,-46
train,T1,T1_1,T1_2,T1_3,T1_4,22,22,0
train,T1,T1_1,T1_2,T1_3,T1_4,26,-78,-78
train,T1,T1_1,T1_2,T1_3,T1_4,10,10,-30
train,T1,T1_1,T1_2,T1_3,T1_4,2,2,48
train,T1,T1_1,T1_2,T1_3,T1_4,10,10,-60
train,T1,T1_1,T1_2,T1_3,T1_4,-4,-4,-92
train,T1,T1_1,T1_2,T1_3,T1_4,-8,-56,-56
train,T1,T1_1,T1_2,T1_3,T1_4,6,-30,-30
train,T1,T1_1,T1_2,T1_3,T1_4,-40,-40,40
